game_id,name,platform_name,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
41496,Kingdom Rush Origins,Android,NULL,NULL,70.0000,1,71.0351,15
41496,Kingdom Rush Origins,iOS,NULL,NULL,70.0000,1,71.0351,15
41496,Kingdom Rush Origins,Xbox One,NULL,NULL,70.0000,1,71.0351,15
41496,Kingdom Rush Origins,Nintendo Switch,NULL,NULL,70.0000,1,71.0351,15
6633,Spear of Destiny,PC (Microsoft Windows),10,NULL,NULL,NULL,76.5665,33
6633,Spear of Destiny,iOS,10,NULL,NULL,NULL,76.5665,33
6003,Reservoir Dogs,PC (Microsoft Windows),6,NULL,65.0000,4,61.9450,18
135915,Overcooked! All You Can Eat,PC (Microsoft Windows),3,NULL,88.7500,8,81.7993,16
135915,Overcooked! All You Can Eat,PlayStation 4,3,NULL,88.7500,8,81.7993,16
135915,Overcooked! All You Can Eat,Xbox One,3,NULL,88.7500,8,81.7993,16
135915,Overcooked! All You Can Eat,Nintendo Switch,3,NULL,88.7500,8,81.7993,16
135915,Overcooked! All You Can Eat,PlayStation 5,3,NULL,88.7500,8,81.7993,16
19562,Resident Evil 7: Biohazard,PC (Microsoft Windows),284,20,88.4615,31,83.7465,706
19562,Resident Evil 7: Biohazard,PlayStation 4,284,20,88.4615,31,83.7465,706
19562,Resident Evil 7: Biohazard,Xbox One,284,20,88.4615,31,83.7465,706
19562,Resident Evil 7: Biohazard,PlayStation 5,284,20,88.4615,31,83.7465,706
328,Sacred,Linux,23,NULL,85.0000,1,77.3332,81
328,Sacred,PC (Microsoft Windows),23,NULL,85.0000,1,77.3332,81
328,Sacred,Mac,23,NULL,85.0000,1,77.3332,81
19589,Space Funeral,PC (Microsoft Windows),3,NULL,NULL,NULL,74.4753,11
14143,I Wanna Be the Guy,PC (Microsoft Windows),8,NULL,NULL,NULL,82.8195,19
20098,FTL: Advanced Edition,Linux,8,1,90.5000,2,84.0912,39
20098,FTL: Advanced Edition,PC (Microsoft Windows),8,1,90.5000,2,84.0912,39
20098,FTL: Advanced Edition,Mac,8,1,90.5000,2,84.0912,39
20098,FTL: Advanced Edition,iOS,8,1,90.5000,2,84.0912,39
12877,Robot Roller-Derby Disco Dodgeball,Linux,4,NULL,NULL,NULL,70.0920,11
12877,Robot Roller-Derby Disco Dodgeball,PC (Microsoft Windows),4,NULL,NULL,NULL,70.0920,11
12877,Robot Roller-Derby Disco Dodgeball,Mac,4,NULL,NULL,NULL,70.0920,11
8921,White Night,Linux,7,NULL,61.8750,8,70.0728,11
8921,White Night,PC (Microsoft Windows),7,NULL,61.8750,8,70.0728,11
8921,White Night,Mac,7,NULL,61.8750,8,70.0728,11
8921,White Night,PlayStation 4,7,NULL,61.8750,8,70.0728,11
8921,White Night,Xbox One,7,NULL,61.8750,8,70.0728,11
8921,White Night,Nintendo Switch,7,NULL,61.8750,8,70.0728,11
80348,MapleStory 2,PC (Microsoft Windows),4,1,100.0000,2,73.9556,21
32365,Hell Let Loose,PC (Microsoft Windows),19,5,75.0000,2,75.0014,16
32365,Hell Let Loose,PlayStation 5,19,5,75.0000,2,75.0014,16
135554,Worms Rumble,PC (Microsoft Windows),5,2,63.7500,4,57.5309,19
135554,Worms Rumble,PlayStation 4,5,2,63.7500,4,57.5309,19
135554,Worms Rumble,Xbox One,5,2,63.7500,4,57.5309,19
135554,Worms Rumble,Nintendo Switch,5,2,63.7500,4,57.5309,19
135554,Worms Rumble,PlayStation 5,5,2,63.7500,4,57.5309,19
364,Heroes of Might and Magic III: The Restoration of Erathia,Linux,164,NULL,91.0000,1,89.3941,497
364,Heroes of Might and Magic III: The Restoration of Erathia,PC (Microsoft Windows),164,NULL,91.0000,1,89.3941,497
364,Heroes of Might and Magic III: The Restoration of Erathia,Mac,164,NULL,91.0000,1,89.3941,497
6466,Master of Magic,PC (Microsoft Windows),12,NULL,NULL,NULL,89.6007,29
68,Master of Orion II: Battle at Antares,PC (Microsoft Windows),20,NULL,NULL,NULL,92.0323,62
68,Master of Orion II: Battle at Antares,Mac,20,NULL,NULL,NULL,92.0323,62
91,Need for Speed II,PC (Microsoft Windows),22,NULL,60.0000,1,75.9527,140
863,Sid Meier's Alpha Centauri,Linux,18,NULL,91.0000,1,90.4561,48
863,Sid Meier's Alpha Centauri,PC (Microsoft Windows),18,NULL,91.0000,1,90.4561,48
863,Sid Meier's Alpha Centauri,Mac,18,NULL,91.0000,1,90.4561,48
22,System Shock 2,PC (Microsoft Windows),115,NULL,NULL,NULL,89.8539,280
22,System Shock 2,Mac,115,NULL,NULL,NULL,89.8539,280
54572,Artifact,Linux,7,NULL,82.5000,6,63.2752,14
54572,Artifact,PC (Microsoft Windows),7,NULL,82.5000,6,63.2752,14
54572,Artifact,Mac,7,NULL,82.5000,6,63.2752,14
656,Crusader: No Regret,PC (Microsoft Windows),3,NULL,NULL,NULL,79.6581,13
656,Crusader: No Regret,Mac,3,NULL,NULL,NULL,79.6581,13
16957,Counter-Strike Nexon: Studio,PC (Microsoft Windows),2,NULL,NULL,NULL,20.7489,18
934,Wing Commander IV: The Price of Freedom,PC (Microsoft Windows),4,NULL,62.5000,2,89.4257,20
934,Wing Commander IV: The Price of Freedom,Mac,4,NULL,62.5000,2,89.4257,20
1230,Phantasy Star IV: The End of the Millennium,PC (Microsoft Windows),9,NULL,NULL,NULL,89.4262,38
119416,Dota Underlords,Linux,5,NULL,NULL,NULL,67.6311,43
119416,Dota Underlords,PC (Microsoft Windows),5,NULL,NULL,NULL,67.6311,43
119416,Dota Underlords,Mac,5,NULL,NULL,NULL,67.6311,43
119416,Dota Underlords,Android,5,NULL,NULL,NULL,67.6311,43
119416,Dota Underlords,iOS,5,NULL,NULL,NULL,67.6311,43
10126,Knights of Pen and Paper II,Linux,7,NULL,75.0000,1,70.4894,17
10126,Knights of Pen and Paper II,PC (Microsoft Windows),7,NULL,75.0000,1,70.4894,17
10126,Knights of Pen and Paper II,Mac,7,NULL,75.0000,1,70.4894,17
10126,Knights of Pen and Paper II,PlayStation 4,7,NULL,75.0000,1,70.4894,17
325,Hellgate: London,PC (Microsoft Windows),16,NULL,70.0000,3,79.6467,45
295,Command & Conquer: Red Alert,PC (Microsoft Windows),102,NULL,NULL,NULL,86.1572,283
